"","SampleID","Visit","Group","variable","value","se"
"1","SGPV2001","V2","NS","Observed",126,NA
"2","SGPV2002","V2","NS","Observed",125,NA
"3","SGPV2004","V2","NS","Observed",107,NA
"4","SGPV2006","V2","NS","Observed",15,NA
"5","SGPV2007","V2","NS","Observed",127,NA
"6","SGPV2008","V2","NS","Observed",208,NA
"7","SGPV2009","V2","ES","Observed",180,NA
"8","SGPV2010","V2","ES","Observed",168,NA
"9","SGPV2012","V2","ES","Observed",146,NA
"10","SGPV2013","V2","CS","Observed",137,NA
"11","SGPV2016","V2","CS","Observed",232,NA
"12","SGPV2018","V2","ES","Observed",25,NA
"13","SGPV2019","V2","NS","Observed",111,NA
"14","SGPV2021","V2","NS","Observed",54,NA
"15","SGPV2022","V2","ES","Observed",128,NA
"16","SGPV2023","V2","CS","Observed",197,NA
"17","SGPV2024","V2","CS","Observed",52,NA
"18","SGPV2025","V2","CS","Observed",211,NA
"19","SGPV2026","V2","NS","Observed",138,NA
"20","SGPV2027","V2","CS","Observed",100,NA
"21","SGPV2028","V2","CS","Observed",152,NA
"22","SGPV2029","V2","ES","Observed",102,NA
"23","SGPV2030","V2","CS","Observed",168,NA
"24","SGPV2032","V2","CS","Observed",83,NA
"25","SGPV2034","V2","NS","Observed",112,NA
"26","SGPV2035","V2","NS","Observed",192,NA
"27","SGPV2037","V2","NS","Observed",38,NA
"28","SGPV2038","V2","NS","Observed",138,NA
"29","SGPV2039","V2","NS","Observed",77,NA
"30","SGPV2040","V2","NS","Observed",125,NA
"31","SGPV2041","V2","CS","Observed",126,NA
"32","SGPV2042","V2","CS","Observed",111,NA
"33","SGPV2043","V2","CS","Observed",173,NA
"34","SGPV2044","V2","CS","Observed",155,NA
"35","SGPV2045","V2","CS","Observed",63,NA
"36","SGPV2046","V2","CS","Observed",88,NA
"37","SGPV2047","V2","CS","Observed",109,NA
"38","SGPV2048","V2","CS","Observed",176,NA
"39","SGPV2049","V2","CS","Observed",135,NA
"40","SGPV2050","V2","CS","Observed",42,NA
"41","SGPV2051","V2","CS","Observed",78,NA
"42","SGPV2052","V2","CS","Observed",226,NA
"43","SGPV2053","V2","CS","Observed",146,NA
"44","SGPV2054","V2","ES","Observed",90,NA
"45","SGPV2055","V2","ES","Observed",60,NA
"46","SGPV2056","V2","ES","Observed",130,NA
"47","SGPV2057","V2","NS","Observed",137,NA
"48","SGPV2058","V2","NS","Observed",118,NA
"49","SGPV2059","V2","NS","Observed",76,NA
"50","SGPV2060","V2","NS","Observed",187,NA
"51","SGPV2063","V2","NS","Observed",189,NA
"52","SGPV2066","V2","NS","Observed",43,NA
"53","SGPV2068","V2","NS","Observed",57,NA
"54","SGPV2069","V2","NS","Observed",257,NA
"55","SGPV2070","V2","NS","Observed",192,NA
"56","SGPV2071","V2","NS","Observed",137,NA
"57","SGPV2072","V2","NS","Observed",223,NA
"58","SGPV2074","V2","ES","Observed",276,NA
"59","SGPV2075","V2","ES","Observed",194,NA
"60","SGPV2076","V2","ES","Observed",101,NA
"61","SGPV2077","V2","ES","Observed",211,NA
"62","SGPV2078","V2","ES","Observed",72,NA
"63","SGPV2079","V2","ES","Observed",244,NA
"64","SGPV2080","V2","ES","Observed",114,NA
"65","SGPV2081","V2","ES","Observed",88,NA
"66","SGPV2082","V2","ES","Observed",38,NA
"67","SGPV2083","V2","ES","Observed",183,NA
"68","SGPV2084","V2","ES","Observed",225,NA
"69","SGPV2085","V2","ES","Observed",191,NA
"70","SGPV2087","V2","ES","Observed",212,NA
"71","SGPV2088","V2","ES","Observed",125,NA
"72","SGPV2089","V2","ES","Observed",88,NA
"73","SGPV2090","V2","ES","Observed",167,NA
"74","SGPV2091","V2","ES","Observed",113,NA
"75","SGPV2092","V2","ES","Observed",162,NA
"76","SGPV2093","V2","CS","Observed",208,NA
"77","SGPV2094","V2","ES","Observed",149,NA
"78","SGPV2095","V2","NS","Observed",128,NA
"79","SGPV2096","V2","NS","Observed",109,NA
"80","SGPV2097","V2","NS","Observed",246,NA
"81","SGPV2098","V2","CS","Observed",55,NA
"82","SGPV2099","V2","CS","Observed",189,NA
"83","SGPV2100","V2","CS","Observed",162,NA
"84","SGPV2101","V2","CS","Observed",223,NA
"85","SGPV2001","V2","NS","Chao1",134.903225806452,"5.01659928741462"
"86","SGPV2002","V2","NS","Chao1",164.260869565217,"15.8159561223822"
"87","SGPV2004","V2","NS","Chao1",122.333333333333,"8.2799739282097"
"88","SGPV2006","V2","NS","Chao1",15,"0.483045891539648"
"89","SGPV2007","V2","NS","Chao1",159.217391304348,"13.5878488529"
"90","SGPV2008","V2","NS","Chao1",267.294117647059,"19.5670696316103"
"91","SGPV2009","V2","ES","Chao1",257.65625,"24.5924464128128"
"92","SGPV2010","V2","ES","Chao1",253.689655172414,"27.3805031616116"
"93","SGPV2012","V2","ES","Chao1",209,"21.0461071940641"
"94","SGPV2013","V2","CS","Chao1",175.607142857143,"14.8167201840408"
"95","SGPV2016","V2","CS","Chao1",280.468085106383,"15.4152995248297"
"96","SGPV2018","V2","ES","Chao1",27,"2.58069758011279"
"97","SGPV2019","V2","NS","Chao1",156.769230769231,"20.996771448551"
"98","SGPV2021","V2","NS","Chao1",63.1,"6.48280963477236"
"99","SGPV2022","V2","ES","Chao1",161.681818181818,"14.2234252248337"
"100","SGPV2023","V2","CS","Chao1",272.027777777778,"23.1403598392895"
"101","SGPV2024","V2","CS","Chao1",73.8571428571429,"13.8777580117196"
"102","SGPV2025","V2","CS","Chao1",279.046511627907,"20.418476628805"
"103","SGPV2026","V2","NS","Chao1",225,"31.5505001499292"
"104","SGPV2027","V2","CS","Chao1",125.2,"12.6004032594326"
"105","SGPV2028","V2","CS","Chao1",185,"12.9260976323096"
"106","SGPV2029","V2","ES","Chao1",174.769230769231,"30.6777430655655"
"107","SGPV2030","V2","CS","Chao1",233.357142857143,"22.2980703396819"
"108","SGPV2032","V2","CS","Chao1",102.25,"10.8681294495701"
"109","SGPV2034","V2","NS","Chao1",130.473684210526,"9.38037391342129"
"110","SGPV2035","V2","NS","Chao1",209.333333333333,"7.39445562672025"
"111","SGPV2037","V2","NS","Chao1",48.1111111111111,"7.18562594355488"
"112","SGPV2038","V2","NS","Chao1",174.964285714286,"14.3339643281933"
"113","SGPV2039","V2","NS","Chao1",102,"13.2987737622095"
"114","SGPV2040","V2","NS","Chao1",150.5,"11.5119187552475"
"115","SGPV2041","V2","CS","Chao1",181.434782608696,"20.7130899844842"
"116","SGPV2042","V2","CS","Chao1",121.12,"5.71633958623453"
"117","SGPV2043","V2","CS","Chao1",206.609756097561,"12.14003142589"
"118","SGPV2044","V2","CS","Chao1",225.714285714286,"25.8425468948341"
"119","SGPV2045","V2","CS","Chao1",75.6666666666667,"7.51130472688791"
"120","SGPV2046","V2","CS","Chao1",106.454545454545,"9.0486544876741"
"121","SGPV2047","V2","CS","Chao1",133.473684210526,"11.5839798065258"
"122","SGPV2048","V2","CS","Chao1",235.09375,"19.8439021599396"
"123","SGPV2049","V2","CS","Chao1",169.166666666667,"14.0535860559304"
"124","SGPV2050","V2","CS","Chao1",53.25,"9.54341585797575"
"125","SGPV2051","V2","CS","Chao1",86.2727272727273,"5.9155045319972"
"126","SGPV2052","V2","CS","Chao1",299.076923076923,"22.165131565908"
"127","SGPV2053","V2","CS","Chao1",227.052631578947,"29.7707373626911"
"128","SGPV2054","V2","ES","Chao1",104.615384615385,"8.64573012726593"
"129","SGPV2055","V2","ES","Chao1",85.3,"14.1133567227498"
"130","SGPV2056","V2","ES","Chao1",157.857142857143,"11.5831093102484"
"131","SGPV2057","V2","NS","Chao1",186.285714285714,"19.3734092689153"
"132","SGPV2058","V2","NS","Chao1",135.4,"8.41341661604226"
